5% resistor values (E24) resistance, tolerance
10,0.05
11,0.05
12,0.05
13,0.05
15,0.05
16,0.05
18,0.05
20,0.05
22,0.05
24,0.05
27,0.05
30,0.05
33,0.05
36,0.05
39,0.05
43,0.05
47,0.05
51,0.05
56,0.05
62,0.05
68,0.05
75,0.05
82,0.05
91,0.05
100,0.05
110,0.05
120,0.05
130,0.05
150,0.05
160,0.05
180,0.05
200,0.05
220,0.05
240,0.05
270,0.05
300,0.05
330,0.05
360,0.05
390,0.05
430,0.05
470,0.05
510,0.05
560,0.05
620,0.05
680,0.05
750,0.05
820,0.05
910,0.05
1000,0.05
1100,0.05
1200,0.05
1300,0.05
1500,0.05
1600,0.05
1800,0.05
2000,0.05
2200,0.05
2400,0.05
2700,0.05
3000,0.05
3300,0.05
3600,0.05
3900,0.05
4300,0.05
4700,0.05
5100,0.05
5600,0.05
6200,0.05
6800,0.05
7500,0.05
8200,0.05
9100,0.05
10000,0.05
11000,0.05
12000,0.05
13000,0.05
15000,0.05
16000,0.05
18000,0.05
20000,0.05
22000,0.05
24000,0.05
27000,0.05
30000,0.05
33000,0.05
36000,0.05
39000,0.05
43000,0.05
47000,0.05
51000,0.05
56000,0.05
62000,0.05
68000,0.05
75000,0.05
82000,0.05
91000,0.05
100000,0.05
110000,0.05
120000,0.05
130000,0.05
150000,0.05
160000,0.05
180000,0.05
200000,0.05
220000,0.05
240000,0.05
270000,0.05
300000,0.05
330000,0.05
360000,0.05
390000,0.05
430000,0.05
470000,0.05
510000,0.05
560000,0.05
620000,0.05
680000,0.05
750000,0.05
820000,0.05
910000,0.05
1000000,0.05
1100000,0.05
1200000,0.05
1300000,0.05
1500000,0.05
1600000,0.05
1800000,0.05
2000000,0.05
2200000,0.05
