# standard 1% resistor (E96 rating)
# includes <10 ohm resistors available in 0603 package from digikey
#resistance,tolerance
0.02,0.01
0.025,0.01
0.03,0.01
0.05,0.01
0.051,0.01
0.056,0.01
0.068,0.01
0.075,0.01
0.082,0.01
0.091,0.01
0.1,0.01
0.11,0.01
0.12,0.01
0.13,0.01
0.15,0.01
0.18,0.01
0.2,0.01
0.22,0.01
0.24,0.01
0.25,0.01
0.27,0.01
0.3,0.01
0.33,0.01
0.36,0.01
0.39,0.01
0.43,0.01
0.47,0.01
0.5,0.01
0.51,0.01
0.56,0.01
0.62,0.01
0.68,0.01
0.75,0.01
0.82,0.01
0.91,0.01
1,0.01
4.7,0.01
10,0.01
10.2,0.01
10.5,0.01
10.7,0.01
11,0.01
11.3,0.01
11.5,0.01
11.8,0.01
12.1,0.01
12.4,0.01
12.7,0.01
13,0.01
13.3,0.01
13.7,0.01
14,0.01
14.3,0.01
14.7,0.01
15,0.01
15.4,0.01
15.8,0.01
16.2,0.01
16.5,0.01
16.9,0.01
17.4,0.01
17.8,0.01
18.2,0.01
18.7,0.01
19.1,0.01
19.6,0.01
20,0.01
20.5,0.01
21,0.01
21.5,0.01
22.1,0.01
22.6,0.01
23.2,0.01
23.7,0.01
24.3,0.01
24.9,0.01
25.5,0.01
26.1,0.01
26.7,0.01
27.4,0.01
28,0.01
28.7,0.01
29.4,0.01
30.1,0.01
30.9,0.01
31.6,0.01
32.4,0.01
33.2,0.01
34,0.01
34.8,0.01
35.7,0.01
36.5,0.01
37.4,0.01
38.3,0.01
39.2,0.01
40.2,0.01
41.2,0.01
42.2,0.01
43.2,0.01
44.2,0.01
45.2,0.01
46.4,0.01
47.5,0.01
48.7,0.01
49.9,0.01
51.1,0.01
52.3,0.01
53.6,0.01
54.9,0.01
56.2,0.01
57.6,0.01
59,0.01
60.4,0.01
61.9,0.01
63.4,0.01
64.9,0.01
66.5,0.01
68.1,0.01
69.8,0.01
71.5,0.01
73.2,0.01
75,0.01
76.8,0.01
78.7,0.01
80.6,0.01
82.5,0.01
84.5,0.01
86.6,0.01
88.7,0.01
90.9,0.01
93.1,0.01
95.3,0.01
97.6,0.01
100,0.01
102,0.01
105,0.01
107,0.01
110,0.01
113,0.01
115,0.01
118,0.01
121,0.01
124,0.01
127,0.01
130,0.01
133,0.01
